name,x,y,z
1000362,20067.0,98548.0,6000.0
1000363,16867.0,104698.0,6000.0
1000364,16867.0,105698.0,6000.0
1000365,20667.0,106710.0,6000.0
1000366,23267.0,114248.0,6000.0
1000367,30067.0,99381.0,6000.0
1000368,30067.0,100214.0,6000.0
1000369,30067.0,102481.0,6000.0
1000370,30067.0,103414.0,6000.0
1000371,60347.0,101873.0,6000.0
1000372,60347.0,102698.0,6000.0
1000373,60347.0,103523.0,6000.0
1000374,63747.0,111328.0,6000.0
1000375,63747.0,112208.0,6000.0
1000376,63747.0,113088.0,6000.0
1000377,63747.0,113968.0,6000.0
1000378,61022.0,114848.0,6000.0
1000379,61697.0,114848.0,6000.0
1000380,62197.0,114848.0,6000.0
1000381,62697.0,114848.0,6000.0
1000382,63197.0,114848.0,6000.0
1000383,53722.0,98548.0,6000.0
1000384,52947.0,99381.0,6000.0
1000385,52947.0,100214.0,6000.0
1000386,52947.0,101931.0,6000.0
1000387,52947.0,102814.0,6000.0
1000388,53397.0,101048.0,6000.0
1000389,53397.0,107148.0,6000.0
1000390,52947.0,111128.0,6000.0
1000391,52947.0,112058.0,6000.0
1000392,52947.0,112988.0,6000.0
1000393,52947.0,113918.0,6000.0
1000394,53622.0,114848.0,6000.0
1000395,54297.0,114848.0,6000.0
1000396,54797.0,114848.0,6000.0
1000397,55297.0,114848.0,6000.0
1000398,55797.0,114848.0,6000.0
1000399,56347.0,99381.0,6000.0
1000400,56347.0,100214.0,6000.0
1000401,54959.0,98548.0,6000.0
1000402,55422.0,98548.0,6000.0
1000403,55884.0,98548.0,6000.0
1000404,63747.0,99381.0,6000.0
1000405,63747.0,100214.0,6000.0
1000406,54680.0,101048.0,6000.0
1000407,55513.0,101048.0,6000.0
1000408,60822.0,98548.0,6000.0
1000409,61297.0,98548.0,6000.0
1000410,61797.0,98548.0,6000.0
1000411,62297.0,98548.0,6000.0
1000412,62797.0,98548.0,6000.0
1000413,63272.0,98548.0,6000.0
1000414,61197.0,101048.0,6000.0
1000415,62047.0,101048.0,6000.0
1000416,62897.0,101048.0,6000.0
1000417,111267.0,104698.0,6000.0
1000418,111267.0,105698.0,6000.0
1000419,108067.0,98548.0,6000.0
1000420,108067.0,101048.0,6000.0
1000421,98467.0,113448.0,6000.0
1000422,98867.0,113448.0,6000.0
1000423,99267.0,113448.0,6000.0
1000424,98867.0,114848.0,6000.0
1000425,108492.0,114848.0,6000.0
1000426,108992.0,114848.0,6000.0
1000427,109492.0,114848.0,6000.0
1000428,109992.0,114848.0,6000.0
1000429,107842.0,114848.0,6000.0
1000430,107467.0,114248.0,6000.0
1000431,111267.0,114248.0,6000.0
1000432,110767.0,114848.0,6000.0
1000433,110492.0,98548.0,6000.0
1000434,99067.0,98548.0,6000.0
1000435,100067.0,98548.0,6000.0
1000436,105733.0,98548.0,6000.0
1000437,106600.0,98548.0,6000.0
1000438,101067.0,99070.0,6000.0
1000439,104867.0,99070.0,6000.0
1000440,107467.0,99381.0,6000.0
1000441,107467.0,100214.0,6000.0
1000442,109517.0,101048.0,6000.0
1000443,108367.0,107106.0,6000.0
1000444,108767.0,107114.0,6000.0
1000445,109167.0,107123.0,6000.0
1000446,109567.0,107131.0,6000.0
1000447,109967.0,107139.0,6000.0
1000448,110817.0,101048.0,6000.0
1000449,111267.0,99381.0,6000.0
1000450,111267.0,100214.0,6000.0
1000451,111267.0,101931.0,6000.0
1000452,111267.0,102814.0,6000.0
1000453,99067.0,107148.0,6000.0
1000454,100067.0,107148.0,6000.0
1000455,101067.0,106723.0,6000.0
1000456,104867.0,106723.0,6000.0
1000457,105733.0,107139.0,6000.0
1000458,106600.0,107131.0,6000.0
1000459,110817.0,107148.0,6000.0
1000460,104867.0,107560.0,6000.0
1000461,104867.0,107973.0,6000.0
1000462,104867.0,108385.0,6000.0
